Account_name,Total_spent,Level
Kohl's,90105.16,"Under 100000"
"Hormel Foods",88946.13999999998,"Under 100000"
"Honeywell International",86362.69999999998,"Under 100000"
"PayPal Holdings",84768.93999999997,"Under 100000"
Kellogg,83419.37999999996,"Under 100000"
Amgen,82013.04999999999,"Under 100000"
Caterpillar,81700.32999999999,"Under 100000"
"PG&E Corp.",81697.27,"Under 100000"
"Anadarko Petroleum",80328.56,"Under 100000"
HollyFrontier,79488.37000000001,"Under 100000"
"Jabil Circuit",79246.93,"Under 100000"
"Lincoln National",77628.11,"Under 100000"
Nationwide,76630.92000000001,"Under 100000"
"Jacobs Engineering Group",75600.49,"Under 100000"
Broadcom,75130.49999999999,"Under 100000"
"Crown Holdings",75110.81,"Under 100000"
"Public Service Enterprise Group",73833.01,"Under 100000"
Progressive,72875.83999999998,"Under 100000"
"Stanley Black & Decker",72788.52,"Under 100000"
"Capital One Financial",72595.01000000001,"Under 100000"
"Time Warner",69479.05999999998,"Under 100000"
"Global Partners",67909.95999999999,"Under 100000"
"Cameron International",67459.64999999998,"Under 100000"
"Illinois Tool Works",67439.95000000001,"Under 100000"
Avnet,66812.23999999999,"Under 100000"
"Molina Healthcare",66381.57,"Under 100000"
AutoZone,65958.07,"Under 100000"
Boeing,65091.39,"Under 100000"
"Dominion Resources",64604,"Under 100000"
Merck,64536.16999999999,"Under 100000"
CarMax,64251.560000000005,"Under 100000"
"Precision Castparts",63743.89,"Under 100000"
"Cognizant Technology Solutions",62504.05,"Under 100000"
"Gilead Sciences",62148.869999999995,"Under 100000"
"Genuine Parts",61561.44,"Under 100000"
Visa,61255.49999999999,"Under 100000"
Nucor,60936.18000000001,"Under 100000"
Kroger,59946.4,"Under 100000"
"NRG Energy",59727.21,"Under 100000"
"International Paper",59086.759999999995,"Under 100000"
"Time Warner Cable",57130.53,"Under 100000"
"Eversource Energy",57059.76,"Under 100000"
"Discover Financial Services",57035.05,"Under 100000"
"Community Health Systems",56644.600000000006,"Under 100000"
"Toys 'R' Us",56179.21000000001,"Under 100000"
HP,56162.34,"Under 100000"
"Ameriprise Financial",55883.55000000001,"Under 100000"
"Kinder Morgan",54891.56,"Under 100000"
"Texas Instruments",54792.72,"Under 100000"
"United Natural Foods",54443.06,"Under 100000"
Qualcomm,54114.020000000004,"Under 100000"
"Valero Energy",52020.600000000006,"Under 100000"
AT&T,51647.76000000002,"Under 100000"
"Office Depot",51477.19,"Under 100000"
"HD Supply Holdings",50888.03,"Under 100000"
"Dollar General",49975.93,"Under 100000"
"Reynolds American",49930.289999999986,"Under 100000"
Freeport-McMoRan,49162.7,"Under 100000"
"Northrop Grumman",48578.159999999996,"Under 100000"
"Performance Food Group",47645.86,"Under 100000"
Anthem,47487.78,"Under 100000"
"Tyson Foods",47417.76,"Under 100000"
McDonald's,47258.13,"Under 100000"
USAA,46822.63,"Under 100000"
Chevron,46725.41,"Under 100000"
"PNC Financial Services Group",46208.37000000001,"Under 100000"
"First Data",45967.25,"Under 100000"
Lowe's,45873.469999999994,"Under 100000"
"American Express",45557.50999999999,"Under 100000"
CenturyLink,44535.04,"Under 100000"
"Chesapeake Energy",44534.950000000004,"Under 100000"
Alphabet,44407.22,"Under 100000"
Coca-Cola,43692.28999999999,"Under 100000"
Southern,42881.21,"Under 100000"
"Twenty-First Century Fox",42065.82000000001,"Under 100000"
BorgWarner,41242.060000000005,"Under 100000"
"Omnicom Group",41161.06000000001,"Under 100000"
"NGL Energy Partners",40607.06999999999,"Under 100000"
"Icahn Enterprises",38851.149999999994,"Under 100000"
AmerisourceBergen,38741.81,"Under 100000"
"Hilton Worldwide Holdings",38648.009999999995,"Under 100000"
"Sempra Energy",38569.85,"Under 100000"
GameStop,38469.65,"Under 100000"
"Thrivent Financial for Lutherans",38204.46000000001,"Under 100000"
"Estee Lauder",38198.82000000001,"Under 100000"
"Johnson Controls",37796.280000000006,"Under 100000"
"Ally Financial",37653.96,"Under 100000"
"Mondelez International",37465.37,"Under 100000"
"Edison International",37010.95,"Under 100000"
EMC,36982.12,"Under 100000"
"Murphy USA",36294.27,"Under 100000"
"R.R. Donnelley & Sons",36218.43,"Under 100000"
"Becton Dickinson",35961.76,"Under 100000"
CSX,35759.700000000004,"Under 100000"
"Henry Schein",35487.34,"Under 100000"
Cummins,34839.82,"Under 100000"
"News Corp.",34675.03,"Under 100000"
"DaVita HealthCare Partners",33982.78,"Under 100000"
Viacom,33673.85999999999,"Under 100000"
"Tenet Healthcare",33028.08,"Under 100000"
Whirlpool,32965.13,"Under 100000"
Humana,32937.92999999999,"Under 100000"
Halliburton,32645.38,"Under 100000"
"General Mills",32226.369999999995,"Under 100000"
"American Electric Power",32044.55,"Under 100000"
"Enterprise Products Partners",31971.72,"Under 100000"
Nordstrom,31273.019999999997,"Under 100000"
Oracle,31231.559999999998,"Under 100000"
Costco,30741.01,"Under 100000"
"Group 1 Automotive",30708.920000000002,"Under 100000"
PepsiCo,30095.72,"Under 100000"
"American Airlines Group",30083.179999999993,"Under 100000"
Kimberly-Clark,29151.210000000003,"Under 100000"
Amazon.com,28678.06,"Under 100000"
"Yum Brands",28296.530000000002,"Under 100000"
"Computer Sciences",28012.069999999996,"Under 100000"
"Health Net",27733.33,"Under 100000"
Exelon,27558.300000000007,"Under 100000"
"US Foods Holding",27074.63,"Under 100000"
"U.S. Bancorp",26641.71,"Under 100000"
"Dean Foods",26514.93,"Under 100000"
"Penske Automotive Group",26485.87,"Under 100000"
Textron,26339.699999999997,"Under 100000"
"Campbell Soup",25765.949999999997,"Under 100000"
"Kraft Heinz",25765.170000000002,"Under 100000"
DuPont,25526.3,"Under 100000"
"Laboratory Corp. of America",25507.06,"Under 100000"
"General Electric",25335.68,"Under 100000"
"Ingram Micro",25198.550000000003,"Under 100000"
"Union Pacific",25107.81,"Under 100000"
"Ross Stores",24961.87,"Under 100000"
Lear,23718.31,"Under 100000"
"CVS Health",23667.51,"Under 100000"
Facebook,23522.79,"Under 100000"
"Procter & Gamble",22961.03,"Under 100000"
"Unum Group",22734.13,"Under 100000"
"Baxter International",22681.17,"Under 100000"
"Navistar International",22484.81,"Under 100000"
"L-3 Communications",22266.77,"Under 100000"
"Norfolk Southern",22100.01,"Under 100000"
"PPG Industries",21960.88,"Under 100000"
"UnitedHealth Group",21937.08,"Under 100000"
Aramark,21692.010000000002,"Under 100000"
Apple,20767.15,"Under 100000"
"Morgan Stanley",20277.570000000003,"Under 100000"
"Hartford Financial Services Group",20257.430000000004,"Under 100000"
"Whole Foods Market",20240.66,"Under 100000"
"Peter Kiewit Sons'",20232.97,"Under 100000"
Huntsman,20092.350000000002,"Under 100000"
"Xcel Energy",19975.91,"Under 100000"
Masco,19963.61,"Under 100000"
Alcoa,19882.160000000003,"Under 100000"
"Energy Transfer Equity",19539.86,"Under 100000"
"Baker Hughes",19409.949999999997,"Under 100000"
Biogen,19386.53,"Under 100000"
"Tech Data",19218.88,"Under 100000"
"ConAgra Foods",19142.48,"Under 100000"
"Express Scripts Holding",19090.449999999997,"Under 100000"
Praxair,19023.360000000004,"Under 100000"
AECOM,18491.510000000002,"Under 100000"
"PBF Energy",18285.93,"Under 100000"
VF,18251.39,"Under 100000"
"Johnson & Johnson",18242.739999999998,"Under 100000"
"L Brands",17439.25,"Under 100000"
"MGM Resorts International",16976.760000000002,"Under 100000"
"Liberty Mutual Insurance Group",16923.55,"Under 100000"
Gap,16791.91,"Under 100000"
Univar,16626.6,"Under 100000"
"Eastman Chemical",16303.42,"Under 100000"
"Marsh & McLennan",16257.21,"Under 100000"
"Voya Financial",15782.23,"Under 100000"
Parker-Hannifin,15727.19,"Under 100000"
Staples,15716.26,"Under 100000"
ConocoPhillips,15578.4,"Under 100000"
Microsoft,15454.01,"Under 100000"
McKesson,15184.460000000001,"Under 100000"
"Principal Financial",15177.8,"Under 100000"
Starbucks,14875.19,"Under 100000"
SpartanNash,14629.16,"Under 100000"
Tesoro,14482.599999999999,"Under 100000"
"Owens & Minor",13507.23,"Under 100000"
WestRock,13282.42,"Under 100000"
AES,13038.64,"Under 100000"
Comcast,12868.38,"Under 100000"
"Northwestern Mutual",11862.92,"Under 100000"
"Air Products & Chemicals",11814.55,"Under 100000"
"Plains GP Holdings",11531.699999999999,"Under 100000"
"DTE Energy",11501.84,"Under 100000"
AbbVie,11243.630000000001,"Under 100000"
"Hertz Global Holdings",10959.77,"Under 100000"
"World Fuel Services",10833.11,"Under 100000"
"Marriott International",10779.77,"Under 100000"
PVH,10699.35,"Under 100000"
UPS,10678.769999999999,"Under 100000"
"Home Depot",10667.46,"Under 100000"
MasterCard,10555.349999999999,"Under 100000"
"HCA Holdings",10323.23,"Under 100000"
Autoliv,10282.96,"Under 100000"
"Reinsurance Group of America",10264.509999999998,"Under 100000"
"Dollar Tree",10212.060000000001,"Under 100000"
"Reliance Steel & Aluminum",10187.64,"Under 100000"
"Waste Management",10067.869999999999,"Under 100000"
"General Motors",9995.05,"Under 100000"
AIG,9980.929999999998,"Under 100000"
"O'Reilly Automotive",9914.23,"Under 100000"
"WellCare Health Plans",9743.13,"Under 100000"
"CBRE Group",9715.710000000001,"Under 100000"
"Newmont Mining",9618.810000000001,"Under 100000"
Macy's,9613.32,"Under 100000"
"Devon Energy",9536.550000000001,"Under 100000"
"Eli Lilly",9339.199999999999,"Under 100000"
Xerox,8759.93,"Under 100000"
CBS,8648.07,"Under 100000"
"Dow Chemical",8431.81,"Under 100000"
"W.W. Grainger",8384.61,"Under 100000"
"Publix Super Markets",8364.4,"Under 100000"
Danaher,8133.47,"Under 100000"
TIAA,7971.509999999999,"Under 100000"
Corning,7940.370000000001,"Under 100000"
MetLife,7615.47,"Under 100000"
"Berkshire Hathaway",7474.32,"Under 100000"
"C.H. Robinson Worldwide",7460.32,"Under 100000"
ManpowerGroup,7313.08,"Under 100000"
"Cardinal Health",7210.91,"Under 100000"
"Sonic Automotive",7192.13,"Under 100000"
"Advance Auto Parts",6962.07,"Under 100000"
"Liberty Interactive",6497.7,"Under 100000"
"Genworth Financial",6402.380000000001,"Under 100000"
Tenneco,5739.630000000001,"Under 100000"
Veritiv,5735.41,"Under 100000"
"Rite Aid",5616.9,"Under 100000"
"NextEra Energy",5321.23,"Under 100000"
"Universal Health Services",5269.51,"Under 100000"
Stryker,4521.36,"Under 100000"
"Massachusetts Mutual Life Insurance",3927.05,"Under 100000"
"Fannie Mae",3780.53,"Under 100000"
"J.C. Penney",3253.0400000000004,"Under 100000"
"Applied Materials",3093.95,"Under 100000"
"Mohawk Industries",3025.65,"Under 100000"
Oneok,2844.46,"Under 100000"
"Exxon Mobil",2734.59,"Under 100000"
"Consolidated Edison",2674.04,"Under 100000"
Lennar,2670.97,"Under 100000"
Loews,2566.22,"Under 100000"
"Lockheed Martin",2440.31,"Under 100000"
"Micron Technology",2438.51,"Under 100000"
Sherwin-Williams,2372.95,"Under 100000"
"INTL FCStone",2372.11,"Under 100000"
"Bank of New York Mellon Corp.",2155.98,"Under 100000"
"Priceline Group",2129.24,"Under 100000"
Ball,1982.74,"Under 100000"
Assurant,1235.81,"Under 100000"
"Las Vegas Sands",1113.29,"Under 100000"
"Bed Bath & Beyond",1069.64,"Under 100000"
Deere,1036.57,"Under 100000"
"Level 3 Communications",881.73,"Under 100000"
"Delta Air Lines",859.64,"Under 100000"
Nike,390.25,"Under 100000"
