Account_name,Total_spent,Level
Monsanto,33253.29,"Under 100000"
AutoNation,33196.759999999995,"Under 100000"
"Tenet Healthcare",33028.08,"Under 100000"
Humana,32937.92999999999,"Under 100000"
Halliburton,32645.38,"Under 100000"
"American Electric Power",32044.55,"Under 100000"
"Enterprise Products Partners",31971.72,"Under 100000"
"HD Supply Holdings",31899.579999999998,"Under 100000"
Coca-Cola,31593.08,"Under 100000"
Nordstrom,31273.019999999997,"Under 100000"
Oracle,31231.559999999998,"Under 100000"
Costco,30741.01,"Under 100000"
"Group 1 Automotive",30708.920000000002,"Under 100000"
PepsiCo,30095.72,"Under 100000"
"American Airlines Group",30083.179999999993,"Under 100000"
Kimberly-Clark,29151.210000000003,"Under 100000"
Amazon.com,28678.06,"Under 100000"
"Yum Brands",28296.530000000002,"Under 100000"
"Health Net",27733.33,"Under 100000"
"US Foods Holding",27074.63,"Under 100000"
"Dean Foods",26514.93,"Under 100000"
"Penske Automotive Group",26485.87,"Under 100000"
Textron,26339.699999999997,"Under 100000"
"Campbell Soup",25765.949999999997,"Under 100000"
"Kraft Heinz",25765.170000000002,"Under 100000"
"Ingram Micro",25198.550000000003,"Under 100000"
"Union Pacific",25107.81,"Under 100000"
"Ross Stores",24961.87,"Under 100000"
"CVS Health",23667.51,"Under 100000"
Facebook,23522.79,"Under 100000"
"Procter & Gamble",22961.03,"Under 100000"
"Unum Group",22734.13,"Under 100000"
"Baxter International",22681.17,"Under 100000"
"Navistar International",22484.81,"Under 100000"
"L-3 Communications",22266.77,"Under 100000"
"Norfolk Southern",22100.01,"Under 100000"
"PPG Industries",21960.88,"Under 100000"
"UnitedHealth Group",21937.08,"Under 100000"
Aramark,21692.010000000002,"Under 100000"
"Morgan Stanley",20277.570000000003,"Under 100000"
"Hartford Financial Services Group",20257.430000000004,"Under 100000"
"Whole Foods Market",20240.66,"Under 100000"
"Peter Kiewit Sons'",20232.97,"Under 100000"
Huntsman,20092.350000000002,"Under 100000"
"Xcel Energy",19975.91,"Under 100000"
Alcoa,19882.160000000003,"Under 100000"
"Energy Transfer Equity",19539.86,"Under 100000"
Biogen,19386.53,"Under 100000"
"Tech Data",19218.88,"Under 100000"
AT&T,19191.140000000003,"Under 100000"
"ConAgra Foods",19142.48,"Under 100000"
"Express Scripts Holding",19090.449999999997,"Under 100000"
Praxair,19023.360000000004,"Under 100000"
"Hilton Worldwide Holdings",18745.86,"Under 100000"
AECOM,18491.510000000002,"Under 100000"
VF,18251.39,"Under 100000"
"Johnson & Johnson",18242.739999999998,"Under 100000"
"Computer Sciences",18216.89,"Under 100000"
"Tyson Foods",18088.57,"Under 100000"
Exelon,18081.58,"Under 100000"
"Travelers Cos.",17808.16,"Under 100000"
"L Brands",17439.25,"Under 100000"
"MGM Resorts International",16976.760000000002,"Under 100000"
"Liberty Mutual Insurance Group",16923.55,"Under 100000"
Gap,16791.91,"Under 100000"
Univar,16626.6,"Under 100000"
"Eastman Chemical",16303.42,"Under 100000"
"Marsh & McLennan",16257.21,"Under 100000"
DuPont,15862.760000000002,"Under 100000"
"Voya Financial",15782.23,"Under 100000"
Staples,15716.26,"Under 100000"
ConocoPhillips,15578.4,"Under 100000"
Microsoft,15454.01,"Under 100000"
McKesson,15184.460000000001,"Under 100000"
"Principal Financial",15177.8,"Under 100000"
Starbucks,14875.19,"Under 100000"
SpartanNash,14629.16,"Under 100000"
Tesoro,14482.599999999999,"Under 100000"
Masco,14330.439999999999,"Under 100000"
"Owens & Minor",13507.23,"Under 100000"
WestRock,13282.42,"Under 100000"
AES,13038.64,"Under 100000"
Comcast,12868.38,"Under 100000"
"Northwestern Mutual",11862.92,"Under 100000"
"Air Products & Chemicals",11814.55,"Under 100000"
"General Electric",11743.47,"Under 100000"
"Plains GP Holdings",11531.699999999999,"Under 100000"
"DTE Energy",11501.84,"Under 100000"
AbbVie,11243.630000000001,"Under 100000"
"Hertz Global Holdings",10959.77,"Under 100000"
"World Fuel Services",10833.11,"Under 100000"
"Marriott International",10779.77,"Under 100000"
PVH,10699.35,"Under 100000"
UPS,10678.769999999999,"Under 100000"
MasterCard,10555.349999999999,"Under 100000"
"PBF Energy",10535.880000000001,"Under 100000"
"HCA Holdings",10323.23,"Under 100000"
Autoliv,10282.96,"Under 100000"
"Reinsurance Group of America",10264.509999999998,"Under 100000"
"Dollar Tree",10212.060000000001,"Under 100000"
"Reliance Steel & Aluminum",10187.64,"Under 100000"
"Waste Management",10067.869999999999,"Under 100000"
"General Motors",9995.05,"Under 100000"
AIG,9980.929999999998,"Under 100000"
"Western Refining",9855.41,"Under 100000"
"WellCare Health Plans",9743.13,"Under 100000"
"CBRE Group",9715.710000000001,"Under 100000"
"Newmont Mining",9618.810000000001,"Under 100000"
Macy's,9613.32,"Under 100000"
"Devon Energy",9536.550000000001,"Under 100000"
Apple,9341.65,"Under 100000"
"Eli Lilly",9339.199999999999,"Under 100000"
Xerox,8759.93,"Under 100000"
CBS,8648.07,"Under 100000"
"Dow Chemical",8431.81,"Under 100000"
"W.W. Grainger",8384.61,"Under 100000"
"Publix Super Markets",8364.4,"Under 100000"
Danaher,8133.47,"Under 100000"
TIAA,7971.509999999999,"Under 100000"
Corning,7940.370000000001,"Under 100000"
MetLife,7615.47,"Under 100000"
"Berkshire Hathaway",7474.32,"Under 100000"
"C.H. Robinson Worldwide",7460.32,"Under 100000"
ManpowerGroup,7313.08,"Under 100000"
"Cardinal Health",7210.91,"Under 100000"
"Sonic Automotive",7192.13,"Under 100000"
"Advance Auto Parts",6962.07,"Under 100000"
"Liberty Interactive",6497.7,"Under 100000"
"Genworth Financial",6402.380000000001,"Under 100000"
Tenneco,5739.630000000001,"Under 100000"
Veritiv,5735.41,"Under 100000"
"Rite Aid",5616.9,"Under 100000"
"NextEra Energy",5321.23,"Under 100000"
"Universal Health Services",5269.51,"Under 100000"
Stryker,4521.36,"Under 100000"
"Fannie Mae",3780.53,"Under 100000"
"J.C. Penney",3253.0400000000004,"Under 100000"
"Applied Materials",3093.95,"Under 100000"
"Mohawk Industries",3025.65,"Under 100000"
Oneok,2844.46,"Under 100000"
"Exxon Mobil",2734.59,"Under 100000"
"Consolidated Edison",2674.04,"Under 100000"
Lennar,2670.97,"Under 100000"
Loews,2566.22,"Under 100000"
"Lockheed Martin",2440.31,"Under 100000"
"Micron Technology",2438.51,"Under 100000"
Sherwin-Williams,2372.95,"Under 100000"
"INTL FCStone",2372.11,"Under 100000"
"Bank of New York Mellon Corp.",2155.98,"Under 100000"
"Priceline Group",2129.24,"Under 100000"
Ball,1982.74,"Under 100000"
Assurant,1235.81,"Under 100000"
"Las Vegas Sands",1113.29,"Under 100000"
Deere,1036.57,"Under 100000"
"Delta Air Lines",859.64,"Under 100000"
Nike,390.25,"Under 100000"
